,OEM anon,Model anon,Input type,Fuel type,Sales,Vehicle body,Gear box type,Engine max power,Engine n cylinders,Engine capacity [cm3],Engine is turbo,Curb_vehicle_mass [kg],Vehicle width [m],Vehicle height [m],Tyre code,N gears,Drive battery capacity [Ah],Drive battery nominal voltage [V],Electric motor power [kW],Electric motor torque [Nm],Initial drive battery state of charge [%],Engine speed at max power [%],is_plugin,is_hybrid,is_electric,pycsis_run,Vehicle mass (WLTP) [kg],wltp|f0 [N],wltp|f1 [N/(km/h)],wltp|f2 [N/(km/h)2],Vehicle mass (real-world) [kg],rw|f0 [N],rw|f1 [N/(km/h)],rw|f2 [N/(km/h)2],Declared average CO2 emissions value (OEM) [g/km],Electric range (OEM) [km],Declared electric consumption value (OEM) [Wh/km],Declared CO2 emissions value (Simulated) [g/km],Declared electric consumption value (Simulated) [Wh/km],Annual average distance [km],Real-world CO2 emissions value (Simulated) [g/km],Real-world electric consumption value (Simulated) [Wh/km],Real-world annual gap
0,OEM_9,Model_3,Pure ICE,gasoline,155332,hatchback,manual,82.027,3,1199,1,1060,1.749,1.474,205/50r17,5,,,,,,5500,FALSE,FALSE,FALSE,TRUE,1288.159,99.47535353,0.621676625,0.030146992,1326.425488,102.4304021,0.615513463,0.030810807,124.8438955,,,130.5227987,,9138,158.5079426,,1.21440809
1,OEM_1,Model_4,Pure ICE,gasoline,133110,suv/crossover,automatic,111.855,4,1498,1,1250,1.819,1.573,215/60r16,6,,,,,,5000,FALSE,FALSE,FALSE,TRUE,1505.85625,104.8843937,0.53914744,0.039035963,1545.103851,107.6180283,0.531167044,0.039895508,145.3637136,,,154.3329053,,8723,185.8647274,,1.204310429
2,OEM_4,Model_6,Pure ICE,gasoline,121466,hatchback,manual,74.57,3,999,1,1065,1.798,1.44,195/55r16,5,,,,,,5000,FALSE,FALSE,FALSE,TRUE,1293.817113,93.47912736,0.620472141,0.030276723,1332.10942,96.24577143,0.614282458,0.030943395,117.9882757,,,125.7585007,,9138,151.7518566,,1.206692635
3,OEM_1,Model_5,Pure ICE,gasoline,117416,hatchback,manual,85.7555,3,999,1,1155,1.76,1.584,205/55r17,5,,,,,,5000,FALSE,FALSE,FALSE,TRUE,1396.317213,100.8848262,0.598896967,0.03260052,1435.074257,103.6850479,0.592232214,0.033318361,138.6244793,,,132.8831708,,9138,157.9752798,,1.188828343
4,OEM_2,Model_6,Pure ICE,gasoline,116428,hatchback,manual,55.9275,3,1199,0,955,1.745,1.43,195/55r16,5,,,,,,5750,FALSE,FALSE,FALSE,TRUE,1170.222213,84.5493155,0.630652818,0.029180193,1207.946507,87.2749203,0.624687306,0.02982272,116.3627097,,,123.6138865,,9138,150.8039802,,1.219959864
5,OEM_1,Model_6,Pure ICE,gasoline,113604,hatchback,automatic,111.855,4,1498,1,1235,1.751,1.446,195/55r16,6,,,,,,5500,FALSE,FALSE,FALSE,TRUE,1488.468813,107.5428392,0.626679563,0.02960814,1527.638957,110.3729076,0.620626563,0.030260091,124.2570059,,,144.1387264,,9138,168.6778844,,1.170246807
6,OEM_11,Model_5,Pure ICE,gasoline,108125,hatchback,manual,67.113,4,1398,0,1063,1.736,1.481,195/55r16,5,,,,,,6000,FALSE,FALSE,FALSE,TRUE,1291.553409,93.31557327,0.622437705,0.030065018,1329.835388,96.08147118,0.616291303,0.030727029,118.172819,,,135.0905499,,9138,161.9553582,,1.198865193
7,OEM_16,Model_1,Pure ICE,gasoline,106835,hatchback,manual,67.113,3,898,1,990,1.733,1.518,205/55r16,5,,,,,,5000,FALSE,FALSE,FALSE,TRUE,1209.34705,87.37611044,0.615958422,0.030762882,1247.252076,90.11477319,0.60966935,0.031440259,126.5528148,,,120.2485094,,9138,146.4276103,,1.21770832
8,OEM_2,Model_7,Pure ICE,gasoline,95611,suv/crossover,manual,82.027,3,1199,1,1136,1.739,1.556,205/50r17,5,,,,,,5500,FALSE,FALSE,FALSE,TRUE,1374.575104,95.74053057,0.558831692,0.036915831,1413.234037,98.43316393,0.55128473,0.037728692,126.1356392,,,138.6555061,,8723,161.4630581,,1.164490777
9,OEM_5,Model_6,Pure ICE,gasoline,76654,hatchback,manual,70.8415,3,999,1,1021,1.732,1.467,205/45r16,5,,,,,,5000,FALSE,FALSE,FALSE,TRUE,1244.156997,111.6773982,0.625713501,0.029712192,1282.222099,115.0941789,0.619639229,0.030366433,123.7059842,,161,127.2498608,,9138,151.6103553,,1.191438281
